                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6859,                 3.6151,                 1.6079,                0.00296,                      1,                0.26247,                0.07344,                 1.2448,                  3.778,                 1.1814,                0.00058,                0.00058,                0.00058
                      2,                 1.4386,                 2.4368,                 1.3115,                0.00267,                    0.9,                0.00447,                0.00164,                 1.7295,                  4.417,                 1.7748,              0.0011683,              0.0011683,              0.0011683
                      3,                 1.4608,                 2.0697,                 1.3596,                0.02224,                   0.05,                0.01308,                 0.0068,                 1.4642,                 3.8115,                 1.5643,              0.0017448,              0.0017448,              0.0017448
                      4,                 1.4347,                 1.8243,                 1.3576,                0.88396,                    0.7,                0.78531,                 0.5419,                 1.2002,                 1.9342,                  1.378,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4322,                 1.7162,                 1.3698,                0.68099,                   0.25,                0.31098,                0.15448,                 1.7404,                  3.836,                   1.83,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4076,                 1.5231,                 1.3404,                0.86782,                0.65668,                0.75683,                0.52587,                 1.2063,                 2.0423,                 1.2489,               0.001901,               0.001901,               0.001901
                      7,                 1.3407,                 1.3464,                 1.3012,                0.67713,                    0.8,                 0.7662,                0.46276,                  1.465,                 1.3338,                 1.4213,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3925,                 1.3197,                 1.3165,                0.90963,                0.75505,                0.85595,                0.52218,                 1.4452,                 1.5109,                 1.4782,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3671,                 1.2091,                  1.344,                0.90375,                  0.925,                0.95238,                0.69138,                 1.0974,                 1.6136,                  1.278,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3344,                 1.1026,                 1.3111,                 0.8626,                0.78488,                0.90355,                0.60016,                 1.1511,                  1.182,                 1.2136,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2921,                 1.0926,                 1.2671,                0.91815,                    0.8,                 0.9311,                0.58994,                 1.2237,                 1.0328,                 1.2974,               0.001802,               0.001802,               0.001802
                     12,                 1.2383,                0.95656,                 1.2387,                0.90002,                    0.8,                0.92161,                0.59483,                 1.1893,                0.97816,                 1.2603,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.217,                0.94726,                   1.22,                 0.9465,                0.88471,                0.93699,                0.69108,                 1.1055,                0.83297,                 1.1798,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2772,                0.93867,                 1.2572,                0.93935,                  0.975,                0.98714,                0.69879,                 1.0467,                0.71522,                 1.1289,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2485,                0.89859,                 1.2353,                0.97152,                0.85275,                 0.9615,                0.66378,                 1.1298,                0.89373,                 1.1918,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2121,                0.89225,                 1.2235,                0.80633,                    0.9,                0.91087,                0.64528,                 1.2098,                0.88311,                 1.2829,               0.001703,               0.001703,               0.001703
                     17,                 1.1608,                0.84909,                 1.1939,                      1,                0.89888,                0.98089,                 0.7105,                 1.0348,                0.71795,                  1.127,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1743,                0.82055,                 1.1891,                0.99176,                   0.95,                0.97115,                0.70008,                 1.0268,                0.60029,                 1.1225,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.153,                0.81026,                 1.1628,                0.95294,                   0.95,                 0.9902,                0.68586,                 1.1375,                 0.7123,                 1.1638,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.219,                0.86724,                 1.2213,                0.97213,                  0.925,                0.98315,                0.69397,                 1.0645,                0.60278,                 1.1874,              0.0016238,              0.0016238,              0.0016238
