epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5059,1.55957,3.51876,1.57481,0.05974,0.7,0.05539,0.03013,1.42166,15.1236,1.3356,0.000655367,0.000655367,0.000655367
2,41.2589,1.56506,1.70142,1.51989,0.56979,0.425,0.44588,0.25849,1.68495,3.51215,2.31631,0.00130895,0.00130895,0.00130895
3,61.3793,1.6047,1.46954,1.57916,0.85053,0.675,0.8298,0.5237,1.27299,2.41057,1.3317,0.00194932,0.00194932,0.00194932
4,81.4626,1.61366,1.41351,1.49629,0.23007,0.275,0.17668,0.07617,2.69279,3.17117,2.99913,0.0019406,0.0019406,0.0019406
5,101.419,1.53789,1.32541,1.47864,0.83196,0.7428,0.78124,0.46947,1.54165,1.96411,1.53196,0.0019208,0.0019208,0.0019208
6,121.454,1.50266,1.19906,1.44123,0.79483,0.8,0.77009,0.5345,1.37679,1.29774,1.44241,0.001901,0.001901,0.001901
7,141.68,1.46882,1.2211,1.43001,0.89464,0.84911,0.91417,0.59296,1.27627,0.92659,1.32907,0.0018812,0.0018812,0.0018812
8,161.806,1.42799,1.10936,1.40797,0.75404,0.675,0.69263,0.40982,1.50238,1.93318,1.53978,0.0018614,0.0018614,0.0018614
9,182.263,1.41752,1.04788,1.36922,0.96954,0.79578,0.90185,0.60179,1.32951,0.99426,1.391,0.0018416,0.0018416,0.0018416
10,202.454,1.42522,1.06986,1.45189,0.87462,0.875,0.95347,0.64811,1.10074,0.80869,1.22391,0.0018218,0.0018218,0.0018218
11,222.543,1.38726,0.98156,1.3701,0.93543,0.975,0.98206,0.65184,1.20285,0.8107,1.26026,0.001802,0.001802,0.001802
12,242.595,1.33739,0.95094,1.35475,0.92583,0.925,0.98178,0.73557,1.03407,0.64722,1.18248,0.0017822,0.0017822,0.0017822
