                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2716,                 2.5719,                 1.3139,                0.76008,                 0.7949,                0.82221,                 0.5266,                 1.1006,                 1.6731,                 1.1527,             0.00047166,             0.00047166,             0.00047166
                      2,                 1.2555,                 1.7756,                 1.3013,                 0.7275,                0.72044,                0.76012,                0.42847,                 1.3762,                 1.6092,                 1.4103,             0.00093861,             0.00093861,             0.00093861
                      3,                 1.2937,                 1.5326,                 1.3219,                0.74463,                0.88568,                0.91622,                0.59283,                 1.1332,                 1.1573,                 1.2054,              0.0013961,              0.0013961,              0.0013961
                      4,                  1.256,                 1.3168,                 1.3067,                0.86844,                0.71557,                 0.8774,                0.58277,                 1.1203,                 1.2741,                 1.2084,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.1981,                  1.116,                 1.2656,                 0.8629,                0.91887,                0.94903,                 0.6484,                  1.061,                0.86255,                 1.1806,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.1863,                 1.0113,                 1.2546,                0.93773,                0.92774,                 0.9807,                 0.6689,                 1.0328,                0.69145,                 1.1542,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1699,                0.95078,                 1.2451,                0.89798,                0.89873,                0.94455,                0.62286,                 1.1086,                0.75939,                  1.188,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1448,                0.93842,                 1.2407,                0.93449,                0.94162,                 0.9672,                0.68899,                 1.0308,                0.64177,                 1.1553,                0.00133,                0.00133,                0.00133
                      9,                 1.1157,                0.89133,                 1.2026,                0.94229,                0.94673,                0.97484,                0.72042,                 0.9358,                0.61155,                 1.0933,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1238,                0.87516,                 1.2094,                0.94691,                0.85663,                0.94072,                0.64286,                 1.0622,                0.70603,                 1.1807,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.0942,                0.84539,                  1.199,                0.91691,                0.97086,                0.98374,                0.71895,                0.95278,                0.57971,                 1.0993,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.0876,                0.79938,                 1.2057,                0.95953,                0.97928,                0.98444,                0.68032,                 1.0502,                0.63785,                 1.1772,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.0419,                0.76887,                 1.1662,                0.91748,                0.93105,                0.97194,                0.66841,                 1.0186,                0.59534,                 1.1472,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.0578,                0.77288,                 1.1795,                0.88173,                0.96815,                0.97585,                0.70516,                 1.0203,                0.58039,                 1.1282,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.0328,                0.72416,                 1.1752,                0.96943,                0.96491,                0.98911,                 0.7379,                0.91875,                0.49989,                 1.0657,              0.0012309,              0.0012309,              0.0012309
